Datetime,Water Level (m)
2023-10-06 00:00:00,0.5619805
2023-10-06 01:00:00,0.717748
2023-10-06 02:00:00,0.94481605
2023-10-06 03:00:00,1.1473029
2023-10-06 04:00:00,1.2890388
2023-10-06 05:00:00,1.3718551
2023-10-06 06:00:00,1.3726013
2023-10-06 07:00:00,1.2891463
2023-10-06 08:00:00,1.2069066
2023-10-06 09:00:00,1.1467748
2023-10-06 10:00:00,1.1005269
2023-10-06 11:00:00,1.0652941
2023-10-06 12:00:00,1.0399456
2023-10-06 13:00:00,1.0305421
2023-10-06 14:00:00,1.062968
2023-10-06 15:00:00,1.1584731
2023-10-06 16:00:00,1.2870519
2023-10-06 17:00:00,1.3764101
2023-10-06 18:00:00,1.4001561
2023-10-06 19:00:00,1.3798505
2023-10-06 20:00:00,1.3446418
2023-10-06 21:00:00,1.3081844
2023-10-06 22:00:00,1.2766064
2023-10-06 23:00:00,1.2508881
2023-10-07 00:00:00,1.2326056
2023-10-07 01:00:00,1.228967
2023-10-07 02:00:00,1.2603061
2023-10-07 03:00:00,1.3476363
2023-10-07 04:00:00,1.4752744
2023-10-07 05:00:00,1.5927725
2023-10-07 06:00:00,1.6644243
2023-10-07 07:00:00,1.6709293
2023-10-07 08:00:00,1.6340371
2023-10-07 09:00:00,1.5856348
2023-10-07 10:00:00,1.5393027
2023-10-07 11:00:00,1.497551
2023-10-07 12:00:00,1.4599262
2023-10-07 13:00:00,1.4272184
2023-10-07 14:00:00,1.4006829
2023-10-07 15:00:00,1.3845904
2023-10-07 16:00:00,1.3925316
2023-10-07 17:00:00,1.4391809
2023-10-07 18:00:00,1.5094098
2023-10-07 19:00:00,1.5609457
2023-10-07 20:00:00,1.5828295
2023-10-07 21:00:00,1.5790913
2023-10-07 22:00:00,1.5581577
2023-10-07 23:00:00,1.527899
2023-10-08 00:00:00,1.4972265
2023-10-08 01:00:00,1.4680723
2023-10-08 02:00:00,1.4460958
2023-10-08 03:00:00,1.4375076
2023-10-08 04:00:00,1.4554307
2023-10-08 05:00:00,1.5119786
2023-10-08 06:00:00,1.6003426
2023-10-08 07:00:00,1.6810938
2023-10-08 08:00:00,1.7283665
2023-10-08 09:00:00,1.7311062
2023-10-08 10:00:00,1.7026489
2023-10-08 11:00:00,1.6610532
2023-10-08 12:00:00,1.6174638
2023-10-08 13:00:00,1.5753506
2023-10-08 14:00:00,1.5361239
2023-10-08 15:00:00,1.5020047
2023-10-08 16:00:00,1.4729378
2023-10-08 17:00:00,1.4566191
2023-10-08 18:00:00,1.4676473
2023-10-08 19:00:00,1.5164605
2023-10-08 20:00:00,1.5847796
2023-10-08 21:00:00,1.6390791
2023-10-08 22:00:00,1.6628008
2023-10-08 23:00:00,1.6530232
2023-10-09 00:00:00,1.6220545
2023-10-09 01:00:00,1.5832319
2023-10-09 02:00:00,1.5440096
2023-10-09 03:00:00,1.5093647
2023-10-09 04:00:00,1.4823186
2023-10-09 05:00:00,1.4713621
2023-10-09 06:00:00,1.4953293
2023-10-09 07:00:00,1.5677884
2023-10-09 08:00:00,1.6685562
2023-10-09 09:00:00,1.7468823
2023-10-09 10:00:00,1.7755015
2023-10-09 11:00:00,1.7536167
2023-10-09 12:00:00,1.708252
2023-10-09 13:00:00,1.6568749
2023-10-09 14:00:00,1.6074221
2023-10-09 15:00:00,1.5618277
2023-10-09 16:00:00,1.5209206
2023-10-09 17:00:00,1.485148
2023-10-09 18:00:00,1.4633495
2023-10-09 19:00:00,1.4781381
2023-10-09 20:00:00,1.5470879
2023-10-09 21:00:00,1.6449797
2023-10-09 22:00:00,1.7122457
2023-10-09 23:00:00,1.7280664
2023-10-10 00:00:00,1.701622
2023-10-10 01:00:00,1.6568799
2023-10-10 02:00:00,1.607973
2023-10-10 03:00:00,1.5612624
2023-10-10 04:00:00,1.5197212
2023-10-10 05:00:00,1.4842645
2023-10-10 06:00:00,1.4653538
2023-10-10 07:00:00,1.4932512
2023-10-10 08:00:00,1.5870501
2023-10-10 09:00:00,1.7177111
2023-10-10 10:00:00,1.8121943
2023-10-10 11:00:00,1.830325
2023-10-10 12:00:00,1.7885637
2023-10-10 13:00:00,1.7290529
2023-10-10 14:00:00,1.6690382
2023-10-10 15:00:00,1.6138662
2023-10-10 16:00:00,1.5639755
2023-10-10 17:00:00,1.5195613
2023-10-10 18:00:00,1.4822391
2023-10-10 19:00:00,1.4697037
2023-10-10 20:00:00,1.5179032
2023-10-10 21:00:00,1.6318133
2023-10-10 22:00:00,1.7513005
2023-10-10 23:00:00,1.808825
2023-10-11 00:00:00,1.7934512
2023-10-11 01:00:00,1.741263
2023-10-11 02:00:00,1.681141
2023-10-11 03:00:00,1.6236366
2023-10-11 04:00:00,1.5711452
2023-10-11 05:00:00,1.5251144
2023-10-11 06:00:00,1.4859651
2023-10-11 07:00:00,1.4739376
2023-10-11 08:00:00,1.5343035
2023-10-11 09:00:00,1.670597
2023-10-11 10:00:00,1.8193808
2023-10-11 11:00:00,1.8889906
2023-10-11 12:00:00,1.863934
2023-10-11 13:00:00,1.797972
2023-10-11 14:00:00,1.7276549
2023-10-11 15:00:00,1.6624186
2023-10-11 16:00:00,1.6039853
2023-10-11 17:00:00,1.5515596
2023-10-11 18:00:00,1.5054637
2023-10-11 19:00:00,1.4726135
2023-10-11 20:00:00,1.492379
2023-10-11 21:00:00,1.5985793
2023-10-11 22:00:00,1.7578005
2023-10-11 23:00:00,1.8702203
2023-10-12 00:00:00,1.8809611
